Time,Yaw,Roll,Pitch,Mot0_Enc,Mot1_Enc,Mot2_Enc,Aea0_Ref,Aea1_Ref,Aea2_Ref,Aea0_Err,Aea1_Err,Aea2_Err,Pid0_Out,Pid1_Out,Pid2_Out
5.00679e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0100651,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.0201221,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.0302098,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.0402637,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.0503194,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.0603762,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.0704308,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.0804882,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.0905747,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.100661,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.110716,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.120806,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.130893,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.14095,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.15096,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.161041,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.171129,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.181213,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.19127,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.201325,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.211383,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.221437,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.231495,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.241583,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.251673,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.26176,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.271859,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.281938,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.292026,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.302112,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.312149,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.322235,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.332292,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.342348,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.352404,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.362492,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.372573,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.382659,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.392743,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.402801,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
0.412888,-28.8172,-46.1866,-25.1917,40884.4,50662,44732,0,0,0,0,0,0,0,0,0
