Time,Yaw,Roll,Pitch,Mot0_Enc,Mot1_Enc,Mot2_Enc,Aea0_Ref,Aea1_Ref,Aea2_Ref,Aea0_Err,Aea1_Err,Aea2_Err,Pid0_Out,Pid1_Out,Pid2_Out
5.48363e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0100865,0,0,0,0,0,0,0,0,0,0,0,0.0384522,52,-13,-14
0.020175,0.0384522,-0.0219727,0.0659181,8269.43,-548.439,-7763.84,0,0,0,0,0,0.0384522,52,-15,-14
0.0302317,0.0384522,-0.0219727,0.0659181,8269.43,-548.439,-7763.84,0,0,0,0,0,0.0384522,52,-17,-14
0.040313,0.0384522,-0.0219727,0.0659181,8269.43,-548.439,-7763.84,0,0,0,0,0,0.0384522,52,-18,-14
0.0503676,0.0384522,-0.0219727,0.0659181,8269.43,-548.439,-7763.84,0,0,0,0,0.0384522,0.0384522,52,-39,-14
0.0604265,0.0439454,0.0714113,0.0714113,8269.43,-548.439,-7763.84,0,0,0,0,0.0384522,0.0384522,52,-37,-14
0.0704849,0.0109864,0.0219727,0.0274659,8269.43,-548.439,-7763.84,0,0,0,0,0,0.0384522,52,-13,-15
0.0805705,0.0384522,-0.0274659,0.0714113,8269.43,-548.439,-7763.84,0,0,0,0,0.0384522,0,52,-11,-17
0.0906577,0.0384522,-0.0219727,0.0659181,8269.43,-548.439,-7763.84,0,0,0,0,0.0384522,0.0384522,52,-32,-16
0.10074,0.0384522,-0.0219727,0.0659181,8269.43,-548.439,-7763.84,0,0,0,0,0,0.0384522,52,-13,-16
0.110797,0.0384522,-0.0219727,0.0659181,8269.43,-548.439,-7763.84,0,0,0,0,0,0.0384522,52,-14,-15
0.120856,0.0384522,-0.0219727,0.0659181,8269.43,-548.439,-7763.84,0,0,0,0,0,0.0384522,52,-16,-15
0.130917,0.0109864,0.0329591,0.0274659,8269.43,-548.439,-7763.84,0,0,0,0,0,0.0384522,52,-18,-16
0.141003,0.0439454,-0.0164795,0.0714113,8269.43,-548.439,-7763.84,0,0,0,0,0,0.0384522,52,-18,-17
0.151048,0.0439454,-0.0164795,0.0714113,8269.43,-548.439,-7763.84,0,0,0,0,0,0.0384522,52,-17,-16
0.161136,0.0384522,-0.0219727,0.0659181,8269.43,-548.439,-7763.84,0,0,0,0,0,0.0384522,52,-17,-16
0.171191,0.0439454,0.0714113,0.0714113,8269.43,-548.439,-7763.84,0,0,0,0,0,0.0384522,52,-17,-16
0.181273,0.0384522,-0.0219727,0.0659181,8269.43,-548.439,-7763.84,0,0,0,0,0,0.0384522,52,-16,-15
0.191331,0.0384522,-0.0219727,0.0659181,8269.43,-548.439,-7763.84,0,0,0,0,0,0.0384522,52,-17,-15
0.201426,0.0384522,-0.0219727,0.0659181,8269.43,-548.439,-7763.84,0,0,0,0,0.0384522,0.0384522,52,-39,-15
0.211513,0.0384522,-0.0219727,0.0659181,8269.43,-548.439,-7763.84,0,0,0,0,0,0.0384522,52,-18,-16
0.221598,0.0384522,-0.0219727,0.0659181,8269.43,-548.439,-7763.84,0,0,0,0,0,0.0384522,52,-17,-16
0.231684,0.0384522,-0.0219727,0.0659181,8269.43,-548.439,-7763.84,0,0,0,0,0,0.0384522,52,-18,-16
0.241742,0.0384522,-0.0219727,0.0659181,8269.43,-548.439,-7763.84,0,0,0,0,0,0.0384522,52,-38,-16
0.251827,0.0384522,-0.0219727,0.0659181,8269.43,-548.439,-7763.84,0,0,0,0,0,0.0384522,52,-17,-16
0.261883,0.0384522,-0.0219727,0.0659181,8269.43,-548.439,-7763.84,0,0,0,0,0.0384522,0.0384522,52,-36,-16
0.27194,0.0384522,-0.0219727,0.0659181,8269.43,-548.439,-7763.84,0,0,0,0,0,0.0384522,52,-11,-16
