Time,Yaw,Roll,Pitch,Mot0_Enc,Mot1_Enc,Mot2_Enc,Aea0_Ref,Aea1_Ref,Aea2_Ref,Aea0_Err,Aea1_Err,Aea2_Err,Pid0_Out,Pid1_Out,Pid2_Out
5.00679e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0100927,0.181275,1.96106,2.8949,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.0201747,0.181275,1.96106,2.8949,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.0302334,0.181275,1.94458,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.0402889,0.181275,1.94458,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.0503476,0.181275,1.94458,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.0604348,0.181275,1.94458,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.0705214,0.181275,1.94458,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.0805771,0.181275,1.94458,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.0906351,0.181275,1.94458,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.100694,0.181275,1.94458,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.11078,0.181275,1.94458,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.120866,0.181275,1.94458,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.130923,0.181275,1.94458,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.140999,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.151055,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.161142,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.1712,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.181258,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.191344,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.201403,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.211485,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.221542,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.231629,0.181275,1.95557,2.90589,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-222,-5,-36
0.241686,0.181275,1.95557,2.90589,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-222,-5,-36
0.251743,0.181275,1.95557,2.90589,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-222,-5,-36
0.26183,0.181275,1.95557,2.90589,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-222,-5,-36
0.271887,0.181275,1.95557,2.90589,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-222,-5,-36
0.281945,0.181275,1.95557,2.90589,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-222,-5,-36
0.292002,0.181275,1.95557,2.90589,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.30206,0.181275,1.95557,2.90589,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.312145,0.181275,1.94458,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.322202,0.181275,1.94458,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.33226,0.181275,1.94458,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.342317,0.181275,1.94458,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.352374,0.181275,1.94458,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.362431,0.181275,1.94458,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.372488,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.382546,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.392626,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.402682,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.412737,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.422794,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.43285,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.442948,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.453033,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.463089,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.473175,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.483232,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.493287,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.503344,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.513443,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.523529,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.533588,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.543686,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.553774,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.563861,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.573917,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.583976,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.594059,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.604131,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.614188,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.624274,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.634331,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.644423,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.654479,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.664534,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.67459,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.684647,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.694735,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.704821,0.208741,1.92261,2.85645,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-221,-5,-36
0.714877,0.181275,1.95557,2.90589,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-222,-5,-36
0.724963,0.181275,1.95557,2.90589,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-222,-5,-36
0.735018,0.181275,1.95557,2.90589,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-222,-5,-36
0.745073,0.181275,1.95557,2.90589,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-222,-5,-36
0.755129,0.181275,1.95557,2.90589,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-222,-5,-36
0.765218,0.181275,1.95557,2.90589,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-222,-5,-36
0.775309,0.181275,1.95557,2.90589,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.785368,0.181275,1.95557,2.90589,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.795448,0.181275,1.95557,2.90589,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.805537,0.181275,1.95557,2.90589,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.815624,0.181275,1.94458,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0.0274659,0,-223,-4,-36
0.825683,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-4,-36
0.835743,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.845801,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.855892,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
0.865979,0.181275,1.93909,2.9004,11200.1,4721.72,4867.39,2.38953,-1.43921,-1.75782,0.455934,0,0,-223,-5,-36
